"Company","Year","Scope","Category","Value","Unit","Source File"
"Various Companies","2024","Scope 1","General","2","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","4","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2025","Total","Waste","50","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","24","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Scope 3","General","2500","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 2","General","2","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 3","General","1","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","3","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 1","Energy","1","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2022","Scope 3","Transportation","5","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 1","Energy","1000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 2","General","1000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","29","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 3","Transportation","3","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2017","Total","General","51","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 3","Purchased Goods","3","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 3","Purchased Goods","1000","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","General","3.2","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2021","Total","General","19","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Total","General","171","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","General","168","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2023","Total","General","171","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 1","Direct Emissions","1","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 2","Direct Emissions","2","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","2018","Scope 2","General","2","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 2","General","339","tonnes CO2e","2023-sustainability-report.pdf"
"Various Companies","Recent","Scope 3","Direct Emissions","3","tonnes CO2e","2023-sustainability-report.pdf"
