company_name,year,scope,value,unit,source_file,extraction_method,confidence,raw_text
"Heineken NV",2024,"Total",2024,"tonnes CO2e","heineken_n_v_annual_report_2024_final_20feb2025.pdf",table_extraction,0.95,"Total 2024 666   335   170   161"
"Heineken NV",2023,"Total",2023,"tonnes CO2e","heineken_n_v_annual_report_2024_final_20feb2025.pdf",table_extraction,0.95,"Total 2023 667   429   70   168"
